id,setting
99676,private
24576,private
89740,public
85333,private
38888,public
23766,public
110794,private
81526,private
34961,private
73658,private
65259,private
102922,private
32258,private
118814,private
7142,public
49940,private
119292,private
59004,public
119401,private
110546,private
109970,private
75205,public
43291,public
63260,private
88436,public
121930,public
85698,public
2508,public
96413,private
88826,private
48483,public
37337,private
95573,private
4178,public
120342,public
23744,public
23313,private
92363,private
64804,private
4913,private
38117,public
82378,private
68046,private
42413,public
7786,public
14722,public
74724,public
19094,private
79082,private
103743,private
27970,public
6675,private
44251,public
40729,public
8219,private
54810,public
38474,private
41801,private
84401,private
55853,private
35181,public
45147,public
3709,public
70258,public
75930,private
85570,private
103307,public
116420,public
43812,private
47025,private
62512,public
21873,private
100714,private
60366,private
28634,private
11990,public
25826,public
42907,public
60115,private
93410,public
8549,private
55962,private
100267,private
10843,public
33392,private
108402,public
59189,private
90560,public
86159,private
4102,public
50741,public
46174,private
110538,private
113350,private
58212,private
3593,public
78250,private
83173,private
97320,private
56364,public
28942,private
83429,private
57887,public
62853,public
77606,public
30817,public
59860,public
11531,public
125220,private
112199,public
55427,public
124729,private
57473,private
43508,private
33988,public
54024,private
16762,private
110104,private
49284,public
87409,private
115013,public
15837,public
40120,public
15663,public
109489,public
97772,private
7175,private
121116,private
31302,public
5951,public
118967,private
110623,public
82290,public
63215,public
107774,public
53331,public
60176,public
7673,public
123131,public
77703,private
95825,public
40997,public
103557,public
5751,private
32816,public
15465,private
77406,public
80078,public
117248,public
68505,private
125625,public
38688,private
103721,private
114962,private
63010,private
55660,public
116928,private
118642,public
22828,private
20302,public
51221,private
88308,private
46049,public
93825,private
97353,public
81514,private
84589,private
112281,public
52590,public
59134,private
24068,public
71306,private
6486,private
70664,public
77592,private
108157,public
37376,public
104288,public
124628,private
118990,public
22006,public
23322,private
50886,private
124544,public
23747,public
25721,public
79775,public
56595,public
50146,private
7718,private
37744,private
68483,public
52680,public
108354,private
75601,public
23302,public
121414,private
101085,private
104675,private
113498,public
86643,private
93949,private
74264,private
17991,private
69122,private
75007,private
23228,private
51172,public
59826,private
72407,private
99699,private
22553,private
85147,public
96599,private
90019,private
29757,private
101236,public
76004,public
12793,private
100291,public
18411,private
118688,private
49981,private
58900,private
13596,private
119650,private
113076,private
94095,private
48116,public
29328,public
82552,public
112743,private
39709,public
74940,public
12062,public
17744,public
110536,private
65662,public
54399,private
42157,private
1507,public
122529,public
62897,private
20112,private
7748,public
35205,public
14527,public
122077,private
12453,public
61946,public
107734,public
34362,public
57724,private
11081,public
75136,public
118385,public
53964,private
57813,public
4403,private
32273,private
70877,public
80017,private
86205,public
55842,private
69026,private
58561,public
11876,private
95342,private
107801,public
91256,public
18707,public
34671,private
10580,public
3230,public
52102,private
47690,public
106882,public
68529,public
75420,public
15825,private
74752,public
4938,public
29995,private
119674,private
112239,public
65038,public
123917,public
64963,public
66827,private
115545,private
110542,public
102137,public
51686,public
13625,private
95259,private
87909,public
48916,public
4269,private
117713,private
3714,public
45561,private
17508,private
165,private
47313,public
17755,private
8539,public
11402,public
54102,public
38916,public
8437,private
109990,private
102258,public
30847,public
112808,private
64624,public
28002,private
91230,private
40316,private
5092,public
121020,private
78202,public
8373,public
3616,private
40535,private
55562,private
86213,private
65860,private
121583,private
2060,private
11356,public
4120,public
34757,public
84652,public
40509,public
67657,public
29127,private
5652,public
7770,public
64311,public
68931,private
30304,public
13185,private
57942,public
106038,private
106229,public
15894,public
20354,private
25775,public
44079,private
115815,private
111857,private
108624,private
59183,private
96996,private
36217,public
112419,private
83927,public
49266,private
99055,public
55376,public
116088,public
95489,public
50578,private
12427,private
37059,public
99804,private
113174,public
51499,public
81886,public
48921,private
15434,private
67081,private
108120,private
48260,public
105146,public
89997,public
125198,public
33112,public
33719,private
35989,private
85080,public
23106,public
108484,public
6010,private
23972,private
5243,private
20087,public
46861,public
52437,private
30302,private
34540,public
16958,public
103064,private
79762,public
91481,private
122151,private
119653,public
91393,private
39000,public
18381,private
84503,public
108686,private
76555,private
97153,public
78744,private
102381,public
9828,private
109361,private
85717,public
23937,private
102677,private
94303,private
112973,private
50135,private
80264,public
117619,private
33572,public
73361,private
39438,private
68464,private
19168,public
67277,public
81620,private
83259,public
4303,public
58864,private
3919,private
72782,public
123154,public
69336,public
96242,private
17192,private
26288,public
113670,private
79893,public
24843,public
36214,private
39565,private
75622,private
113864,public
74571,public
101207,private
85856,private
118549,private
92097,public
23486,private
67485,private
91423,public
18141,public
110023,private
81961,public
46628,private
53118,public
24246,private
19640,public
5093,private
60102,private
15712,public
116107,private
87814,private
14682,public
72276,private
103947,public
111759,private
109460,public
40961,public
1428,public
43906,public
28718,private
27409,private
103767,private
99031,public
52971,private
62157,private
82780,public
5240,private
76661,public
87729,private
1468,public
25209,public
50518,private
23123,private
19559,public
114338,public
104859,public
90006,public
124392,public
6707,private
17778,private
94537,private
34621,public
22574,private
34659,private
30549,public
118925,private
105566,public
41242,private
9612,private
104569,private
39167,private
111475,public
4958,public
70484,private
22764,private
24357,public
26587,public
64961,public
58283,public
8646,public
88929,public
65312,private
49625,private
67059,private
109589,private
35058,public
71588,public
34141,private
34317,public
105277,public
84704,public
10251,private
23472,public
95835,public
15484,private
3029,public
5040,public
95645,private
17905,public
39941,public
101319,private
16344,private
34237,public
75337,public
115797,public
77975,private
107217,private
69011,private
124172,public
109696,private
93609,private
53922,public
88093,private
34506,private
77727,private
43681,private
67180,private
68362,private
98029,private
93197,public
55188,public
92768,private
79535,private
71958,public
39506,public
123282,public
8079,public
111728,private
95532,private
64432,public
60738,public
74244,private
92633,public
116504,public
49060,private
98843,public
34334,private
64892,public
42903,public
12955,public
39819,public
92491,public
105109,public
43937,public
17234,public
938,private
25411,public
9121,public
70180,private
94922,private
68371,private
21450,public
115194,private
48375,private
48199,private
107797,public
58781,private
39244,private
49201,private
77346,private
18509,public
29477,private
92650,private
85068,public
50844,public
12091,public
91192,private
98700,private
16329,private
68761,public
108746,private
62111,private
93720,private
10610,private
100473,private
35586,public
93986,public
44292,public
19777,public
42292,private
41072,private
61510,public
54424,private
95484,public
23466,private
14599,private
11159,private
68574,private
42167,private
15421,private
115782,public
79355,private
123950,public
44635,public
46158,private
42335,public
89998,private
24901,private
558,public
112992,public
23424,private
532,public
83294,private
17862,private
60125,public
82979,private
12386,private
50807,private
106198,public
37399,private
782,private
107007,public
124345,private
11954,public
100170,public
114226,private
116624,public
72714,public
68448,private
103292,public
12552,public
16653,public
106060,private
92146,private
35110,public
91301,public
58161,public
1099,public
3766,private
73445,public
80603,public
12225,private
20937,public
88282,private
2504,public
50160,public
101630,public
87865,private
81361,public
94405,public
57959,public
90633,private
19705,public
79047,public
97143,public
54728,private
51009,private
37848,private
117667,private
39526,private
38409,public
11493,public
41018,public
87933,public
38122,public
50851,public
115933,public
111348,private
63892,public
70458,private
104505,public
80670,private
121341,private
15643,private
33081,public
72969,public
4171,public
101615,public
95018,public
26491,private
339,private
48500,public
79873,public
31993,private
100983,private
119182,private
107712,public
82782,private
18602,private
63506,public
67769,public
12983,private
120055,public
6692,public
116377,public
37786,public
93035,public
107967,private
14013,public
56983,private
65659,public
100756,public
49239,public
58225,private
95290,public
81158,public
92345,public
94173,private
28407,public
53828,public
91849,private
104750,public
61358,private
100704,public
119450,public
47701,public
44891,public
61022,private
107958,public
53359,public
26334,private
123439,private
54085,private
1092,private
5495,private
54349,private
93883,private
32026,private
42762,private
5625,public
14060,private
13417,public
86900,public
21907,private
13390,private
2610,private
55129,public
96980,private
86150,private
71411,private
2795,private
2790,private
104255,private
90877,public
95949,public
113597,private
39984,public
85050,private
86471,private
21423,private
83037,public
92043,public
38613,private
32459,private
100998,public
92280,private
8715,public
94777,private
109227,public
62205,private
103720,public
78016,private
84284,public
96298,public
121286,private
63792,private
4952,private
31083,public
8216,public
37805,public
20525,private
82621,public
39850,private
87680,public
4336,public
123044,public
79782,private
83106,private
61692,public
64706,private
88854,public
92546,public
89168,private
13423,private
55745,private
52414,public
10064,public
10264,private
84943,public
41572,private
7761,private
71291,public
9573,private
119453,public
101828,private
63656,private
22102,private
49097,private
50072,public
115524,private
104723,private
78840,public
56812,private
48190,private
37535,private
85866,private
28867,public
83958,private
47408,public
88909,public
65567,public
94063,private
14334,private
20550,private
87074,private
52691,public
78168,public
94809,public
83137,private
122391,public
5027,public
106483,private
20683,public
18009,private
96093,public
53863,private
67831,public
20196,public
107216,private
56550,public
62164,private
12312,private
109646,public
89195,public
125195,private
83790,public
90860,public
9470,public
104792,public
72179,private
63787,public
40136,private
5905,public
95947,private
75625,private
11612,public
22273,private
56577,private
36095,public
90037,public
27500,public
78275,private
72768,public
65880,public
96015,public
40886,private
4254,public
107799,private
59152,public
3243,public
43020,private
38254,public
18247,public
79989,public
59048,private
113388,public
102405,private
97770,private
19860,public
16080,private
59006,private
105436,public
38068,public
53891,public
39657,private
73124,public
89381,private
87134,private
86038,private
85060,public
41788,private
73101,private
67869,public
43123,public
1094,private
49487,public
58406,private
61813,public
53045,private
56281,public
90347,public
19058,public
29776,public
86699,public
65124,private
54173,private
71283,private
18914,public
53269,private
110541,public
124715,public
116609,public
60291,private
17670,private
109577,public
1209,public
74341,public
53051,public
98571,private
19519,private
21483,private
41798,public
37413,private
7685,private
121017,private
123847,private
5576,private
22452,private
6051,private
122435,private
123863,private
124184,private
31077,private
7901,private
64367,private
43668,public
91714,public
68918,public
23414,private
123713,public
32075,public
100221,private
103883,private
49419,public
27656,public
11012,private
31441,private
81342,public
37547,public
47032,public
73744,public
125316,public
54662,private
16050,public
11926,public
8285,public
113633,private
124397,public
58059,public
10986,public
44248,public
100832,public
87833,public
67447,private
12201,public
24396,private
108823,private
22930,private
14999,private
38100,public
65789,private
23488,private
8633,private
75259,public
93871,private
36041,public
57313,private
78944,public
74837,public
83780,public
75104,public
118882,private
40220,public
87249,public
65825,public
69649,private
15551,public
37024,public
88881,private
109090,private
86880,private
41040,public
111575,public
17604,private
1137,private
62536,public
18329,public
86046,private
24970,private
18881,public
80819,private
38365,private
27053,private
67334,public
68849,private
5545,public
103848,public
74442,public
25951,public
38001,private
1284,private
38385,public
116936,private
92890,public
14480,public
49358,private
49371,public
51465,public
15518,private
80786,private
5717,private
17732,private
83883,private
11867,private
112344,public
46799,public
1221,private
30738,public
8968,public
117206,public
46217,private
51425,private
62653,public
85498,private
40633,public
37936,public
110026,private
8592,public
9997,private
38165,private
23327,public
12280,public
95911,public
66632,public
85243,private
1752,private
111245,public
65366,public
65169,public
36007,private
65467,private
77399,private
18311,private
54903,public
10550,private
16452,private
109429,public
67914,private
101427,public
4166,public
31906,public
99731,public
17891,public
12791,private
75383,public
38602,public
62558,public
51629,private
95979,private
57747,public
70490,private
84411,private
39119,public
43103,private
1265,private
4351,public
95211,private
8895,public
39765,private
82288,public
37855,public
48642,public
49964,public
106759,private
87587,private
115509,private
30219,private
16230,private
15977,private
81259,public
7247,private
46769,public
49452,public
107757,public
5136,private
59030,private
23891,public
110323,private
42277,public
89151,public
104230,private
19013,private
45275,private
38314,public
88996,public
59123,public
123338,public
75370,public
123057,public
7251,private
94406,private
10738,private
54400,private
1926,private
19038,private
93006,private
3181,public
57576,public
17013,private
105800,public
103106,public
115547,private
1573,public
9944,private
32454,private
29116,public
77356,private
56697,private
34528,public
75972,public
56657,public
86547,public
2438,public
97224,private
125854,public
28241,private
16392,private
120879,private
99561,public
40113,public
34620,public
113694,private
3080,public
105330,private
4533,public
119480,public
113373,public
61223,public
84886,private
75792,public
116508,public
119784,private
718,public
111664,private
82682,private
111546,private
22540,private
49701,public
26399,private
95742,public
81885,public
113657,private
18528,public
47252,public
66664,public
89905,private
60966,public
125089,private
3909,private
12746,public
84998,private
105215,public
70222,public
46064,private
34043,public
113501,public
7390,private
79564,public
89946,private
40162,private
63690,private
26333,private
13901,public
101691,public
37339,public
52491,private
96440,public
82396,private
51877,public
53484,public
110009,public
46358,private
54201,public
19363,private
25107,public
25917,public
102457,public
114826,private
30072,private
6329,public
43804,public
78877,public
116717,public
3099,private
43878,public
14516,private
48904,private
86114,public
15659,public
98762,public
51285,public
116619,private
60884,public
13027,private
15682,public
107289,private
49305,public
100620,public
45936,public
112737,public
57809,public
105373,public
19683,public
101830,private
73803,private
64799,private
96013,public
31999,public
2239,private
6637,private
97422,private
69139,public
78954,public
103293,public
52819,private
23880,private
125589,public
34458,public
28500,private
19497,private
49760,private
26420,public
83917,public
122113,public
55768,public
67029,public
67681,private
23599,private
91053,public
29919,public
39259,private
101861,private
62948,public
119844,private
125861,private
118721,private
105803,private
1771,private
108359,public
77221,public
79499,public
90536,private
50199,public
9387,public
67897,private
53503,public
55925,private
26136,public
75860,public
94748,private
53961,public
9115,private
50397,public
60015,public
43687,public
94464,public
58962,private
60789,public
41139,public
23332,public
12501,private
93289,public
55929,public
81983,private
60317,private
21956,public
16286,private
54482,public
60580,public
5621,public
53820,private
69058,public
30761,private
15317,private
35491,private
62321,public
111604,private
116741,private
24617,public
86103,private
35999,public
123082,private
105471,public
93751,private
13853,public
47780,public
123120,private
77869,private
15015,private
94906,private
60024,private
99317,public
97477,public
99545,public
3439,public
86608,public
83667,private
114905,private
69580,public
16097,public
119343,public
1918,private
41590,private
121533,private
96318,public
100919,private
119551,private
26052,private
67270,private
96540,private
24812,public
90940,public
33764,public
108083,private
46224,private
96670,public
26828,private
13029,public
103640,public
23268,private
62211,private
84049,public
8308,public
110427,private
60511,private
13044,public
46793,private
35364,private
82848,public
46374,public
124475,private
115983,private
51565,private
27052,public
1448,public
27893,public
72634,public
103855,public
13397,private
86174,private
27304,private
6322,public
85617,private
76820,private
74322,private
89439,public
93884,public
41356,public
70813,public
39097,public
59218,private
77059,public
90995,private
111675,private
10889,public
13174,public
10686,public
15589,private
79845,public
62934,private
101426,private
43464,private
34775,public
91476,public
21363,private
34777,private
81398,private
20652,public
50143,public
111432,public
55777,private
102842,private
123555,public
125376,private
62718,private
5172,public
17895,private
17960,private
15171,public
932,private
122106,public
53032,private
119366,public
64436,private
40689,private
40169,public
36111,public
125081,private
69274,private
63908,public
2246,private
5663,private
4371,public
11740,private
117756,private
55219,public
98586,private
2188,private
58422,public
73674,private
94228,public
57081,public
74836,private
37397,public
62754,public
36267,public
55132,private
32211,public
68828,public
102136,private
63858,private
74872,public
50635,public
83607,public
92735,private
47203,private
13495,private
123992,public
80107,public
67337,private
119973,public
11593,private
80273,public
10299,private
21983,public
65355,private
92664,public
8402,public
15301,private
15292,private
92365,public
104070,private
85770,public
125359,private
88477,public
61288,private
94417,private
115669,private
50054,private
110276,private
85393,public
20038,private
44868,private
48144,private
31947,public
31245,private
43757,public
28441,public
98065,private
21554,public
26643,private
37508,private
59715,public
802,public
79801,private
57981,public
37139,private
70460,private
28933,public
27267,private
63330,public
56520,public
111889,private
78901,public
121717,public
119295,private
86676,private
115947,public
14681,private
44958,private
54869,public
120431,public
56491,public
120566,private
110744,public
47005,private
53178,public
26599,private
37532,private
51642,private
37314,private
93034,private
99579,public
66990,private
88373,private
49128,private
121840,public
112586,public
40190,private
22399,private
25817,public
33781,public
90308,private
58387,private
31504,private
99651,public
107042,private
19191,public
2252,public
58701,private
18788,private
53544,public
27661,public
49209,private
56701,private
115504,private
14163,private
9119,public
6082,public
9114,private
44252,private
111699,private
106236,private
88140,private
41512,private
34670,public
25054,public
10787,public
43382,private
29512,private
41437,private
107894,public
94575,private
33993,public
436,private
60388,private
40278,private
35407,private
12191,public
35794,private
46245,private
91835,public
96552,private
77027,public
91772,public
87917,private
43666,public
89906,public
1874,public
18488,private
119133,private
29861,public
80250,private
83232,private
46290,private
29332,private
32436,private
23287,private
43945,public
115405,public
66721,public
101895,private
12873,private
3360,private
53171,private
5418,private
88259,private
12893,private
30604,public
6870,private
62713,public
106944,private
55030,private
32248,public
87869,private
101396,private
117191,private
110473,public
30928,private
58431,private
111248,private
22491,private
98650,private
114855,private
60852,private
69220,public
56539,private
65105,public
74551,public
98981,public
1317,public
106935,private
102533,private
59275,private
100772,private
88169,private
95402,public
8826,private
93597,private
119795,public
28998,private
117966,private
42414,public
99944,public
79273,private
123826,public
70129,public
105292,private
75421,private
9246,private
69948,private
69262,public
52307,public
110138,private
7773,public
86993,public
79135,public
60698,public
4406,public
79882,private
69709,public
121986,private
82286,public
6185,public
114700,public
81740,public
10278,private
20474,private
118706,public
67771,public
73343,private
108003,public
86692,public
13860,private
15608,private
57527,private
30533,public
67134,private
113153,public
83051,private
19412,private
76459,private
60752,private
115562,public
16734,public
97322,private
4504,public
24116,public
118928,public
120542,public
49920,public
103869,public
98890,private
64041,public
88284,public
103314,public
7012,public
74916,public
109414,public
31486,private
99857,private
46619,private
74278,public
3900,public
58442,public
16196,private
13667,public
13873,public
50737,public
117279,public
106166,private
71070,private
106768,public
26470,private
27618,private
91606,public
35866,private
111583,private
109424,private
101622,public
28166,public
110548,private
39286,private
37302,private
68867,public
48810,public
99536,private
34446,private
59948,public
112516,public
23361,public
17338,private
118328,private
100396,private
57235,public
67913,public
63019,private
6390,private
6844,public
39317,public
3947,public
103230,private
123649,public
59201,public
61724,private
35832,private
71014,private
96449,public
56313,private
92472,public
39595,public
46146,private
59137,private
34205,private
110017,private
117101,public
32102,public
12524,private
27380,public
117296,private
85166,public
99279,public
77687,private
41466,private
16840,private
109811,private
64309,private
51888,public
86640,public
16464,public
81230,private
4072,public
84784,private
84839,public
36020,private
67086,private
125523,private
55528,public
10851,public
91428,public
62036,private
105544,public
3438,private
37482,public
73726,public
2939,public
59392,public
76581,public
11142,private
36960,public
61317,private
71994,private
94212,public
79461,private
70668,private
30662,private
112976,public
3331,public
65024,private
120685,private
4394,public
102115,public
4766,private
48166,public
45356,public
15328,public
3798,public
17488,private
116333,public
42618,private
103286,public
87930,public
87740,private
21436,public
99149,private
95873,public
85033,private
73649,private
119941,private
114149,public
89761,public
24214,private
125402,private
68883,private
20516,public
78943,private
76068,private
101561,private
57208,private
40665,private
79471,private
105744,public
12655,public
24042,private
20397,private
12431,private
94876,public
8208,public
87778,public
63793,public
108518,private
30491,private
9731,private
98598,public
98170,public
6886,public
48590,private
117914,public
66851,public
124156,private
109045,private
4741,private
59404,public
96087,public
22123,private
14630,private
39430,public
4300,public
16312,public
7848,private
9648,private
31329,public
117547,private
14435,private
81979,public
83664,public
112392,private
8012,private
89000,public
103223,public
124940,public
95,private
26642,public
114253,public
16501,public
54767,public
9649,public
59096,public
93214,private
60237,public
39722,public
2221,public
14356,public
30196,public
64658,public
113252,public
6394,public
114720,private
87946,public
94763,public
84325,public
43507,private
55985,public
68400,public
83431,private
82740,public
95041,private
29114,private
79855,public
113025,private
100399,public
100073,private
21046,public
95744,private
72679,private
93536,private
80229,private
15840,private
44967,public
111154,public
67468,public
111072,public
7474,private
122844,public
113814,private
121085,private
2389,public
115702,private
99667,private
30740,private
2675,public
130,public
81998,private
74079,public
24285,private
34067,public
29358,public
68831,public
84264,private
55410,private
82508,public
85970,public
51715,public
115728,public
51535,public
53687,private
69862,public
62323,public
113117,private
103740,public
80233,private
90950,public
9123,private
46897,public
36797,public
56329,public
56185,public
36194,public
52195,private
3777,private
102110,public
87055,private
90474,public
117599,private
120458,private
48845,public
14343,public
19195,public
98444,public
33101,public
124250,public
73236,private
25739,public
89811,public
13096,private
13220,public
86624,private
80081,public
108541,private
104609,private
32399,public
37794,public
22998,private
77662,private
52613,private
122414,private
21343,public
64935,private
33533,public
43491,private
26442,public
88101,public
95965,public
36248,private
90841,private
59970,public
47953,public
89035,public
8957,private
116729,public
113909,private
83873,public
124854,private
107388,public
13674,public
80113,public
12585,public
96839,private
46012,private
101770,private
48693,private
39112,public
125873,public
55284,public
105826,public
73333,public
102274,private
94804,private
70459,private
97034,public
47477,public
93534,public
112636,private
26501,private
77387,public
55841,private
16974,private
89781,private
125146,private
60300,private
58922,public
109870,private
36756,public
25139,private
45954,private
31523,private
123124,private
21740,private
123745,public
45384,private
108639,public
7970,public
13660,public
105846,private
23374,private
114624,private
81262,private
70123,private
4532,private
25593,public
125415,public
39976,private
109338,private
52641,public
57564,public
43874,public
26996,private
87634,private
82665,public
60113,public
120826,private
39494,private
49476,private
30094,public
98382,public
12116,private
114874,private
65785,private
107899,public
101244,public
14706,private
105558,public
52355,private
61987,private
63151,private
92715,public
15238,private
13175,public
109842,public
124179,public
18608,private
115693,private
124694,private
18684,private
81441,public
36760,private
103858,private
105266,public
17603,public
97531,private
7927,public
27444,public
109078,private
94176,private
76908,public
105824,public
60600,private
1205,public
76298,public
78265,public
69737,private
98593,public
43341,private
53830,public
83772,public
12540,public
41416,private
114684,public
67159,private
24477,private
54534,public
4999,private
62217,private
81834,public
78035,public
53242,public
18731,private
4745,private
50022,public
94141,private
123428,public
122767,private
61581,public
73534,private
18099,public
119056,private
72412,public
124398,public
107067,public
16886,public
28523,public
38724,public
123361,public
107,public
71304,private
32754,private
79380,public
111469,public
109018,private
49243,public
1078,private
117494,public
9577,public
45420,private
95345,public
59171,private
101893,public
25652,public
107372,private
111355,private
66079,private
119712,public
66713,private
90629,public
115865,public
97368,private
44973,private
86616,public
81049,public
113175,public
73234,public
11317,public
108862,public
10583,public
104560,private
28928,private
38422,private
109098,private
27659,private
1872,private
79263,public
100987,public
76207,private
118749,private
38095,private
27720,private
125412,private
44645,private
3873,public
120502,public
96678,private
40608,private
79423,private
111279,private
84164,public
